CITY                                   ZIPCODE P       RENT ESTIMATE ASKING   PCT                                          PROP_ID  
                                         32725 B       9.33     $650     $650 100%                                          555510  
                                         32725 B       9.33     $667     $650 103%                                          560937  
                                         32725 B       9.33     $596     $650 92%                                           563618  
                                         32725 B       9.33     $494     $625 79%                                           564521  
                                         32725 B       9.33     $675     $595 113%                                          570762  
                                         32725 B       9.33     $498     $650 77%                                           571930  
                                         32725 B       9.33   $1,406   $1,350 104%                                          573826  
                                         32725 B       9.33   $1,570   $1,150 137%                                          573859  
                                         32725 B       9.33     $970     $695 140%                                          574205  
                                         32725 B       9.33   $1,577   $1,300 121%                                          576713  
                                         32725 B       9.33   $1,068     $950 112%                                          578041  
                                         32725 C       9.33     $687     $800 86%                                           580993  
                                         32725 C       10.4   $1,418     $950 149%                                          568250  
                                         32725 C       10.4   $1,173     $950 123%                                          541298  
                                         32738 A       10.4   $1,015     $850 119%                                          563070  
                                         32738 A       9.33   $2,880   $3,000 96%                                           574635  
                                         32738 B       9.33   $3,359     $650 517%                                          580358  
                                         32738 B       9.33   $1,463   $1,000 146%                                          574750  
                                         32738 B       9.33     $821     $895 92%                                           582384  
                                         32738 B       9.33     $989     $825 120%                                          583483  
                                         32738 B       9.33   $1,738   $1,125 155%                                          572636  
                                         32738 B       9.33     $936     $875 107%                                          572283  
                                         32738 B       9.33     $684     $650 105%                                          566792  
                                         32738 B       10.4   $1,083     $850 127%                                          557228  
                                         32738 B       10.4     $932   $1,125 83%                                           571196  
                                         32738 B       10.4   $1,380   $1,095 126%                                          572381  
                                         32738 B       10.4     $749     $750 100%                                          579072  
                                         32738 B       9.33   $1,368   $1,050 130%                                          544419  
                                         32738 B       9.33     $899     $895 100%                                          551550  
                                         32738 B       9.33     $802     $775 104%                                          552259  
                                         32738 B       9.33   $1,429   $1,000 143%                                          563376  
                                         32738 B       9.33   $1,178     $950 124%                                          564284  
                                         32738 B       9.33     $871   $1,160 75%                                           564968  
                                         32738 C       10.4     $998     $725 138%                                          568742  
                                         32738 C       10.4   $1,109     $950 117%                                          574849  
                                         32738 C       10.4   $1,209     $995 122%                                          580500  
                                         32738 C       10.4   $1,810   $1,100 165%                                          578235  
                                                                                                                                    
GOTHA                                    34734 A      11.44   $3,606   $2,300 157%                                          891562  
                                         34734 B      11.44   $1,420   $1,075 132%                                          887577  
                                         34734 B      11.44   $1,848   $1,325 139%                                          886929  
                                         34734 C      11.44   $3,592   $3,700 97%                                           885954  
                                                                                                                                    
GRANT                                    32949 B      10.39   $1,826   $1,700 107%                                          457270  
                                                                                                                                    
INDIALANTIC                              32903 A      10.39     $495     $675 73%                                           472750  
                                         32903 A      10.39   $1,549   $1,900 82%                                           314885  
                                         32903 A      10.39   $1,268   $1,400 91%                                           305571  
                                         32903 B      10.39     $985   $1,500 66%                                           306186  
                                                                                                                                    
