SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
162,12,000,22975,00000,00000,Florida City city,Florida,11245,11245,11275,11511
162,12,000,24000,00000,00000,Fort Lauderdale city,Florida,165521,165521,165900,168528
162,12,000,24100,00000,00000,Fort Meade city,Florida,5626,5626,5632,5696
162,12,000,24125,00000,00000,Fort Myers city,Florida,62298,62296,62460,63512
162,12,000,24150,00000,00000,Fort Myers Beach town,Florida,6277,6277,6294,6406
162,12,000,24300,00000,00000,Fort Pierce city,Florida,41590,41606,41746,41993
162,12,000,24475,00000,00000,Fort Walton Beach city,Florida,19507,19507,19505,19793
162,12,000,24500,00000,00000,Fort White town,Florida,567,567,567,566
162,12,000,24825,00000,00000,Freeport city,Florida,1787,1787,1795,1812
162,12,000,24900,00000,00000,Frostproof city,Florida,2992,2992,2997,3030
162,12,000,24975,00000,00000,Fruitland Park city,Florida,4078,4078,4090,4132
162,12,000,25175,00000,00000,Gainesville city,Florida,124354,124354,124394,125326
162,12,000,26050,00000,00000,Glen Ridge town,Florida,219,219,219,220
162,12,000,26075,00000,00000,Glen St. Mary town,Florida,437,439,438,440
162,12,000,26250,00000,00000,Golden Beach town,Florida,919,919,921,940
162,12,000,26550,00000,00000,Golf village,Florida,252,252,252,255
162,12,000,27000,00000,00000,Graceville city,Florida,2278,2278,2275,2258
162,12,000,27175,00000,00000,Grand Ridge town,Florida,892,895,894,885
162,12,000,27256,00000,00000,Grant-Valkaria town,Florida,3850,3850,3854,3851
162,12,000,27322,00000,00000,Greenacres city,Florida,37573,37573,37655,38009
162,12,000,27400,00000,00000,Green Cove Springs city,Florida,6908,6908,6927,6958
162,12,000,27550,00000,00000,Greensboro town,Florida,602,645,645,642
162,12,000,27575,00000,00000,Greenville town,Florida,843,835,835,830
162,12,000,27600,00000,00000,Greenwood town,Florida,686,686,685,678
162,12,000,27650,00000,00000,Gretna city,Florida,1460,1459,1459,1452
162,12,000,27800,00000,00000,Groveland city,Florida,8729,8729,8752,8846
162,12,000,28000,00000,00000,Gulf Breeze city,Florida,5763,5763,5788,5870
162,12,000,28175,00000,00000,Gulfport city,Florida,12029,12029,12026,12041
162,12,000,28275,00000,00000,Gulf Stream town,Florida,786,786,788,795
162,12,000,28400,00000,00000,Haines City city,Florida,20535,20552,20579,20807
162,12,000,28452,00000,00000,Hallandale Beach city,Florida,37113,37113,37200,37800
162,12,000,28575,00000,00000,Hampton city,Florida,500,500,499,496
162,12,000,29100,00000,00000,Hastings town,Florida,580,580,584,598
162,12,000,29150,00000,00000,Havana town,Florida,1754,1753,1754,1743
162,12,000,29200,00000,00000,Haverhill town,Florida,1873,1873,1878,1896
162,12,000,29275,00000,00000,Hawthorne city,Florida,1417,1417,1418,1428
162,12,000,30000,00000,00000,Hialeah city,Florida,224669,224669,225269,229969
162,12,000,30025,00000,00000,Hialeah Gardens city,Florida,21744,21744,21803,22257
162,12,000,30200,00000,00000,Highland Beach town,Florida,3539,3539,3547,3580
162,12,000,30325,00000,00000,Highland Park village,Florida,230,230,230,233
162,12,000,30525,00000,00000,High Springs city,Florida,5350,5344,5347,5391
162,12,000,30700,00000,00000,Hillcrest Heights town,Florida,254,254,254,257
162,12,000,30750,00000,00000,Hilliard town,Florida,3086,3086,3094,3123
162,12,000,30850,00000,00000,Hillsboro Beach town,Florida,1875,1875,1879,1910
162,12,000,31350,00000,00000,Holly Hill city,Florida,11659,11659,11660,11663
162,12,000,32000,00000,00000,Hollywood city,Florida,140768,140768,141095,143357
162,12,000,32150,00000,00000,Holmes Beach city,Florida,3836,3836,3844,3888
162,12,000,32275,00000,00000,Homestead city,Florida,60512,60512,60673,61940
162,12,000,32650,00000,00000,Horseshoe Beach town,Florida,169,169,169,170
162,12,000,32775,00000,00000,Howey-in-the-Hills town,Florida,1098,1103,1106,1118
162,12,000,33150,00000,00000,Hypoluxo town,Florida,2588,2588,2593,2618
162,12,000,33375,00000,00000,Indialantic town,Florida,2720,2720,2723,2721
162,12,000,33425,00000,00000,Indian Creek village,Florida,86,86,86,88
162,12,000,33450,00000,00000,Indian Harbour Beach city,Florida,8225,8225,8231,8228
162,12,000,33600,00000,00000,Indian River Shores town,Florida,3901,3899,3906,3924
162,12,000,33625,00000,00000,Indian Rocks Beach city,Florida,4113,4113,4112,4117
162,12,000,33675,00000,00000,Indian Shores town,Florida,1420,1420,1420,1421
162,12,000,33800,00000,00000,Inglis town,Florida,1325,1325,1323,1304
162,12,000,33900,00000,00000,Interlachen town,Florida,1403,1403,1401,1396
162,12,000,33950,00000,00000,Inverness city,Florida,7210,7210,7212,7152
162,12,000,34132,00000,00000,"Islamorada, Village of Islands village",Florida,6119,6119,6128,6184
162,12,000,35000,00000,00000,Jacksonville city,Florida,821784,821784,822883,827908
162,12,000,35050,00000,00000,Jacksonville Beach city,Florida,21362,21362,21392,21523
162,12,000,35200,00000,00000,Jacob City city,Florida,250,250,250,247
162,12,000,35375,00000,00000,Jasper city,Florida,4546,4546,4537,4528
162,12,000,35425,00000,00000,Jay town,Florida,533,533,536,543
162,12,000,35525,00000,00000,Jennings town,Florida,878,878,875,869
162,12,000,35850,00000,00000,Juno Beach town,Florida,3176,3176,3183,3213
162,12,000,35875,00000,00000,Jupiter town,Florida,55156,55276,55394,55911
162,12,000,35900,00000,00000,Jupiter Inlet Colony town,Florida,400,400,401,404
162,12,000,35925,00000,00000,Jupiter Island town,Florida,817,817,817,823
162,12,000,36175,00000,00000,Kenneth City town,Florida,4980,4980,4977,4984
162,12,000,36300,00000,00000,Key Biscayne village,Florida,12344,12344,12378,12637
162,12,000,36325,00000,00000,Key Colony Beach city,Florida,797,797,798,806
162,12,000,36475,00000,00000,Keystone Heights city,Florida,1350,1350,1354,1362
162,12,000,36550,00000,00000,Key West city,Florida,24649,24649,24687,24909
162,12,000,36950,00000,00000,Kissimmee city,Florida,59682,59682,59917,61346
162,12,000,37225,00000,00000,LaBelle city,Florida,4640,4659,4658,4653
162,12,000,37300,00000,00000,La Crosse town,Florida,360,360,360,364
162,12,000,37375,00000,00000,Lady Lake town,Florida,13926,13926,13965,14111
162,12,000,37525,00000,00000,Lake Alfred city,Florida,5015,5015,5023,5077
162,12,000,37625,00000,00000,Lake Buena Vista city,Florida,10,10,10,10
162,12,000,37650,00000,00000,Lake Butler city,Florida,1897,1897,1899,1871
162,12,000,37775,00000,00000,Lake City city,Florida,12046,12034,12050,12026
162,12,000,37800,00000,00000,Lake Clarke Shores town,Florida,3376,3376,3384,3415
162,12,000,37975,00000,00000,Lake Hamilton town,Florida,1231,1231,1233,1247
162,12,000,38025,00000,00000,Lake Helen city,Florida,2624,2624,2625,2625
162,12,000,38250,00000,00000,Lakeland city,Florida,97422,97419,97551,98589
162,12,000,38425,00000,00000,Lake Mary city,Florida,13822,13822,13837,13900
162,12,000,38600,00000,00000,Lake Park town,Florida,8155,8155,8172,8248
162,12,000,38625,00000,00000,Lake Placid town,Florida,2223,2223,2223,2219
162,12,000,38950,00000,00000,Lake Wales city,Florida,14225,14225,14245,14399
162,12,000,39075,00000,00000,Lake Worth city,Florida,34910,34910,34984,35306
162,12,000,39375,00000,00000,Lantana town,Florida,10423,10423,10446,10543
162,12,000,39425,00000,00000,Largo city,Florida,77648,77649,77622,77723
162,12,000,39475,00000,00000,Lauderdale-by-the-Sea town,Florida,6056,6056,6070,6168
162,12,000,39525,00000,00000,Lauderdale Lakes city,Florida,32593,32593,32667,33191
162,12,000,39550,00000,00000,Lauderhill city,Florida,66887,66887,67042,68117
162,12,000,39650,00000,00000,Laurel Hill city,Florida,537,537,537,545
162,12,000,39700,00000,00000,Lawtey city,Florida,730,730,730,721
162,12,000,39725,00000,00000,Layton city,Florida,184,184,185,186
162,12,000,39750,00000,00000,Lazy Lake village,Florida,24,24,24,24
162,12,000,39850,00000,00000,Lee town,Florida,352,352,352,349
162,12,000,39875,00000,00000,Leesburg city,Florida,20117,20125,20179,20390
162,12,000,40450,00000,00000,Lighthouse Point city,Florida,10344,10344,10369,10536
162,12,000,40875,00000,00000,Live Oak city,Florida,6850,6850,6848,6918
162,12,000,41150,00000,00000,Longboat Key town,Florida,6888,6888,6901,6953
162,12,000,41250,00000,00000,Longwood city,Florida,13657,13657,13672,13732
162,12,000,41577,00000,00000,Loxahatchee Groves town,Florida,3180,3180,3186,3218
162,12,000,41825,00000,00000,Lynn Haven city,Florida,18493,18493,18542,18607
162,12,000,41950,00000,00000,Macclenny city,Florida,6374,6372,6369,6382
162,12,000,42150,00000,00000,McIntosh town,Florida,452,450,450,452
162,12,000,42400,00000,00000,Madeira Beach city,Florida,4263,4263,4262,4267
162,12,000,42425,00000,00000,Madison city,Florida,2843,2843,2845,2826
162,12,000,42575,00000,00000,Maitland city,Florida,15751,15751,15792,16076
162,12,000,42625,00000,00000,Malabar town,Florida,2757,2757,2760,2758
162,12,000,42650,00000,00000,Malone town,Florida,2088,2088,2087,2081
162,12,000,42700,00000,00000,Manalapan town,Florida,406,406,407,411
162,12,000,42900,00000,00000,Mangonia Park town,Florida,1888,1888,1893,1910
162,12,000,43000,00000,00000,Marathon city,Florida,8297,8297,8310,8387
162,12,000,43083,00000,00000,Marco Island city,Florida,16413,16413,16475,16756
162,12,000,43125,00000,00000,Margate city,Florida,53284,53284,53407,54270
162,12,000,43175,00000,00000,Marianna city,Florida,6102,6103,6095,6043
162,12,000,43250,00000,00000,Marineland town,Florida,16,16,16,16
162,12,000,43375,00000,00000,Mary Esther city,Florida,3851,3851,3851,3910
162,12,000,43425,00000,00000,Mascotte city,Florida,5101,5105,5120,5175
162,12,000,43575,00000,00000,Mayo town,Florida,1237,1232,1237,1243
162,12,000,43900,00000,00000,Medley town,Florida,838,838,840,857
162,12,000,43975,00000,00000,Melbourne city,Florida,76068,76068,76131,76095
162,12,000,44000,00000,00000,Melbourne Beach town,Florida,3101,3101,3104,3102
162,12,000,44075,00000,00000,Melbourne Village town,Florida,662,662,662,663
162,12,000,44300,00000,00000,Mexico Beach city,Florida,1072,1072,1075,1078
162,12,000,45000,00000,00000,Miami city,Florida,399457,399457,400509,408750
162,12,000,45025,00000,00000,Miami Beach city,Florida,87779,87779,88012,89840
162,12,000,45060,00000,00000,Miami Gardens city,Florida,107167,107167,107452,109680
162,12,000,45100,00000,00000,Miami Lakes town,Florida,29361,29361,29439,30057
162,12,000,45175,00000,00000,Miami Shores village,Florida,10493,10493,10519,10720
162,12,000,45200,00000,00000,Miami Springs city,Florida,13809,13809,13845,14129
162,12,000,45225,00000,00000,Micanopy town,Florida,600,600,600,606
162,12,000,45425,00000,00000,Midway city,Florida,3004,3004,3007,2987
162,12,000,45750,00000,00000,Milton city,Florida,8826,8826,8864,8984
162,12,000,45900,00000,00000,Minneola city,Florida,9403,9403,9431,9531
162,12,000,45975,00000,00000,Miramar city,Florida,122041,122041,122327,124302
162,12,000,46500,00000,00000,Monticello city,Florida,2506,2506,2505,2487
162,12,000,46525,00000,00000,Montverde town,Florida,1463,1463,1467,1482
162,12,000,46550,00000,00000,Moore Haven city,Florida,1680,1680,1674,1643
162,12,000,47050,00000,00000,Mount Dora city,Florida,12370,12370,12404,12534
162,12,000,47200,00000,00000,Mulberry city,Florida,3817,3818,3824,3867
162,12,000,47625,00000,00000,Naples city,Florida,19537,19537,19611,19939
162,12,000,48100,00000,00000,Neptune Beach city,Florida,7037,7037,7047,7090
162,12,000,48200,00000,00000,Newberry city,Florida,4950,4954,4955,4997
162,12,000,48500,00000,00000,New Port Richey city,Florida,14911,14905,14932,14961
162,12,000,48625,00000,00000,New Smyrna Beach city,Florida,22464,22471,22473,22481
162,12,000,48750,00000,00000,Niceville city,Florida,12749,12749,12748,12941
162,12,000,48900,00000,00000,Noma town,Florida,211,211,210,210
162,12,000,49225,00000,00000,North Bay Village city,Florida,7137,7137,7156,7305
162,12,000,49425,00000,00000,North Lauderdale city,Florida,41023,41023,41118,41782
162,12,000,49450,00000,00000,North Miami city,Florida,58786,58786,58939,60143
162,12,000,49475,00000,00000,North Miami Beach city,Florida,41523,41523,41635,42504
162,12,000,49600,00000,00000,North Palm Beach village,Florida,12015,12015,12040,12153
162,12,000,49675,00000,00000,North Port city,Florida,57357,57357,57448,57780
162,12,000,49725,00000,00000,North Redington Beach town,Florida,1417,1417,1416,1418
162,12,000,50450,00000,00000,Oak Hill city,Florida,1792,1792,1793,1793
162,12,000,50525,00000,00000,Oakland town,Florida,2538,2538,2545,2590
162,12,000,50575,00000,00000,Oakland Park city,Florida,41363,41363,41459,42126
162,12,000,50750,00000,00000,Ocala city,Florida,56315,56315,56333,56517
162,12,000,50900,00000,00000,Ocean Breeze Park town,Florida,355,355,355,358
162,12,000,50950,00000,00000,Ocean Ridge town,Florida,1786,1786,1790,1806
162,12,000,51075,00000,00000,Ocoee city,Florida,35579,35584,35674,36320
162,12,000,51200,00000,00000,Okeechobee city,Florida,5621,5621,5629,5641
162,12,000,51350,00000,00000,Oldsmar city,Florida,13591,13605,13600,13618
162,12,000,51650,00000,00000,Opa-locka city,Florida,15219,15219,15259,15579
162,12,000,51825,00000,00000,Orange City city,Florida,10599,10719,10721,10724
162,12,000,52125,00000,00000,Orange Park town,Florida,8412,8412,8436,8476
162,12,000,52175,00000,00000,Orchid town,Florida,415,415,416,418
162,12,000,53000,00000,00000,Orlando city,Florida,238300,238304,238902,243195
162,12,000,53150,00000,00000,Ormond Beach city,Florida,38137,38137,38142,38153
162,12,000,53500,00000,00000,Otter Creek town,Florida,134,134,134,132
