SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
162,12,000,24000,00000,00000,Fort Lauderdale city,Florida,165521,165504,165900,168587,170747
162,12,000,24100,00000,00000,Fort Meade city,Florida,5626,5653,5657,5698,5744
162,12,000,24125,00000,00000,Fort Myers city,Florida,62298,62292,62518,63924,65725
162,12,000,24150,00000,00000,Fort Myers Beach town,Florida,6277,6277,6293,6394,6514
162,12,000,24300,00000,00000,Fort Pierce city,Florida,41590,41852,41989,42292,42645
162,12,000,24475,00000,00000,Fort Walton Beach city,Florida,19507,19510,19494,19694,20293
162,12,000,24500,00000,00000,Fort White town,Florida,567,565,566,562,564
162,12,000,24825,00000,00000,Freeport city,Florida,1787,1787,1795,1803,1863
162,12,000,24900,00000,00000,Frostproof city,Florida,2992,2991,2994,3012,3033
162,12,000,24975,00000,00000,Fruitland Park city,Florida,4078,4080,4102,4138,4181
162,12,000,25175,00000,00000,Gainesville city,Florida,124354,124364,124436,125312,126047
162,12,000,26050,00000,00000,Glen Ridge town,Florida,219,219,219,221,224
162,12,000,26075,00000,00000,Glen St. Mary town,Florida,437,439,439,440,438
162,12,000,26250,00000,00000,Golden Beach town,Florida,919,919,922,941,947
162,12,000,26550,00000,00000,Golf village,Florida,252,252,253,255,260
162,12,000,27000,00000,00000,Graceville city,Florida,2278,2278,2275,2260,2230
162,12,000,27175,00000,00000,Grand Ridge town,Florida,892,894,893,883,869
162,12,000,27256,00000,00000,Grant-Valkaria town,Florida,3850,3850,3855,3857,3890
162,12,000,27322,00000,00000,Greenacres city,Florida,37573,37578,37676,37987,38467
162,12,000,27400,00000,00000,Green Cove Springs city,Florida,6908,6908,6927,6939,6977
162,12,000,27550,00000,00000,Greensboro town,Florida,602,645,645,636,628
162,12,000,27575,00000,00000,Greenville town,Florida,843,840,840,832,824
162,12,000,27600,00000,00000,Greenwood town,Florida,686,686,685,677,666
162,12,000,27650,00000,00000,Gretna city,Florida,1460,1473,1474,1452,1433
162,12,000,27800,00000,00000,Groveland city,Florida,8729,8729,8765,8927,9181
162,12,000,28000,00000,00000,Gulf Breeze city,Florida,5763,5763,5789,5871,5979
162,12,000,28175,00000,00000,Gulfport city,Florida,12029,12029,12021,12020,12066
162,12,000,28275,00000,00000,Gulf Stream town,Florida,786,786,788,795,806
162,12,000,28400,00000,00000,Haines City city,Florida,20535,20552,20576,20778,21008
162,12,000,28452,00000,00000,Hallandale Beach city,Florida,37113,37113,37204,37823,38327
162,12,000,28575,00000,00000,Hampton city,Florida,500,500,499,495,493
162,12,000,29100,00000,00000,Hastings town,Florida,580,580,582,590,600
162,12,000,29150,00000,00000,Havana town,Florida,1754,1757,1758,1738,1718
162,12,000,29200,00000,00000,Haverhill town,Florida,1873,1873,1877,1891,1912
162,12,000,29275,00000,00000,Hawthorne city,Florida,1417,1417,1417,1429,1444
162,12,000,30000,00000,00000,Hialeah city,Florida,224669,224667,225372,230179,231941
162,12,000,30025,00000,00000,Hialeah Gardens city,Florida,21744,21744,21814,22291,22495
162,12,000,30200,00000,00000,Highland Beach town,Florida,3539,3539,3546,3575,3618
162,12,000,30325,00000,00000,Highland Park village,Florida,230,230,230,233,235
162,12,000,30525,00000,00000,High Springs city,Florida,5350,5344,5345,5406,5494
162,12,000,30700,00000,00000,Hillcrest Heights town,Florida,254,254,254,257,260
162,12,000,30750,00000,00000,Hilliard town,Florida,3086,3086,3089,3096,3092
162,12,000,30850,00000,00000,Hillsboro Beach town,Florida,1875,1875,1879,1911,1937
162,12,000,31350,00000,00000,Holly Hill city,Florida,11659,11659,11654,11611,11628
162,12,000,32000,00000,00000,Hollywood city,Florida,140768,140769,141106,143387,145236
162,12,000,32150,00000,00000,Holmes Beach city,Florida,3836,3836,3843,3890,3960
162,12,000,32275,00000,00000,Homestead city,Florida,60512,60509,60764,62468,63190
162,12,000,32650,00000,00000,Horseshoe Beach town,Florida,169,169,169,169,166
162,12,000,32775,00000,00000,Howey-in-the-Hills town,Florida,1098,1103,1106,1111,1122
162,12,000,33150,00000,00000,Hypoluxo town,Florida,2588,2588,2594,2615,2646
162,12,000,33375,00000,00000,Indialantic town,Florida,2720,2720,2722,2717,2732
162,12,000,33425,00000,00000,Indian Creek village,Florida,86,86,86,88,89
