SQL> @rm_duplicate_taxes
** Saint Johns **                                                                                                                   
5541808 Selected 36836                                                                                                              
5541817 Selected 612676                                                                                                             
5541855 Selected 450000                                                                                                             
5549455 Selected 232102                                                                                                             
5549907 Selected 67500                                                                                                              
5558218 Selected 509585                                                                                                             
5565933 Selected 35291                                                                                                              
5565941 Selected 190659                                                                                                             
5565942 Selected 806955                                                                                                             
5565944 Selected 71617                                                                                                              
5589640 Selected 146367                                                                                                             
5597298 Selected 157939                                                                                                             
5605097 Selected 56620                                                                                                              
5605219 Selected 102195                                                                                                             
5605228 Selected 54327                                                                                                              
5496465 Selected 40037                                                                                                              
5496819 Selected 250319                                                                                                             
5504027 Selected 64737                                                                                                              
5504029 Selected 68650                                                                                                              
5504036 Selected 38539                                                                                                              
5504038 Selected 25362                                                                                                              
5504064 Selected 7209                                                                                                               
5511481 Selected 193583                                                                                                             
5511483 Selected 184941                                                                                                             
5511589 Selected 15950                                                                                                              
5511601 Selected 202232                                                                                                             
5511684 Selected 11500                                                                                                              
5511691 Selected 403123                                                                                                             
5511699 Selected 606711                                                                                                             
5518618 Selected 152316                                                                                                             
5518642 Selected 87528                                                                                                              
5518681 Selected 157390                                                                                                             
5518717 Selected 226445                                                                                                             
5518718 Selected 183209                                                                                                             
5518738 Selected 195200                                                                                                             
5518755 Selected 59358                                                                                                              
5518854 Selected 121938                                                                                                             
5518974 Selected 157266                                                                                                             
5518990 Selected 101539                                                                                                             
5519001 Selected 17055                                                                                                              
5519019 Selected 140588                                                                                                             
5527110 Selected 25314                                                                                                              
5527117 Selected 249349                                                                                                             
5527179 Selected 119232                                                                                                             
5550009 Selected 274847                                                                                                             
5550010 Selected 2753                                                                                                               
5550017 Selected 3706                                                                                                               
5550408 Selected 21415                                                                                                              
5550425 Selected 68450                                                                                                              
5558710 Selected 597156                                                                                                             
5566693 Selected 150589                                                                                                             
5566712 Selected 1275460                                                                                                            
5566730 Selected 1221829                                                                                                            
5566766 Selected 617179                                                                                                             
5566773 Selected 450000                                                                                                             
5566798 Selected 487366                                                                                                             
5574549 Selected 1329278                                                                                                            
5574554 Selected 340498                                                                                                             
5582316 Selected 638836                                                                                                             
5582325 Selected 935225                                                                                                             
5582369 Selected 138471                                                                                                             
5582381 Selected 79554                                                                                                              
5582387 Selected 221258                                                                                                             
5590177 Selected 1350                                                                                                               
5590258 Selected 61774                                                                                                              
5590357 Selected 140279                                                                                                             
5590388 Selected 21131                                                                                                              
5497245 Selected 161448                                                                                                             
5497280 Selected 85775                                                                                                              
5497313 Selected 54605                                                                                                              
5504673 Selected 70159                                                                                                              
5512170 Selected 163552                                                                                                             
5512192 Selected 87992                                                                                                              
5512204 Selected 150278                                                                                                             
5512221 Selected 16530                                                                                                              
5512267 Selected 59149                                                                                                              
5527302 Selected 88406                                                                                                              
5527316 Selected 1843                                                                                                               
5527335 Selected 9994                                                                                                               
5527342 Selected 38861                                                                                                              
5527353 Selected 23692                                                                                                              
5527360 Selected 73960                                                                                                              
5527381 Selected 35100                                                                                                              
5527382 Selected 23496                                                                                                              
5527407 Selected 185105                                                                                                             
5527483 Selected 55939                                                                                                              
5527527 Selected 56364                                                                                                              
5527564 Selected 671314                                                                                                             
5527608 Selected 8520                                                                                                               
5527616 Selected 4500                                                                                                               
5542531 Selected 55609                                                                                                              
5590791 Selected 32817                                                                                                              
5590810 Selected 74151                                                                                                              
5590897 Selected 184518                                                                                                             
5590917 Selected 37227                                                                                                              
5598293 Selected 51583                                                                                                              
5598300 Selected 2700                                                                                                               
5598364 Selected 0                                                                                                                  
5598366 Selected 23350                                                                                                              
5497487 Selected 19950                                                                                                              
5497517 Selected 11200                                                                                                              
5497538 Selected 5000                                                                                                               
5497714 Selected 45735                                                                                                              
5497735 Selected 68775                                                                                                              
5497737 Selected 14580                                                                                                              
5497740 Selected 228155                                                                                                             
5497758 Selected 25631                                                                                                              
5497772 Selected 61345                                                                                                              
5504944 Selected 37409                                                                                                              
5504954 Selected 51467                                                                                                              
5504973 Selected 19752                                                                                                              
5504981 Selected 447868                                                                                                             
5504989 Selected 655234                                                                                                             
5505007 Selected 1292025                                                                                                            
5505093 Selected 12074                                                                                                              
5505171 Selected 40740                                                                                                              
5505216 Selected 192039                                                                                                             
5505217 Selected 659315                                                                                                             
5505257 Selected 73952                                                                                                              
5505287 Selected 119895                                                                                                             
5505302 Selected 119029                                                                                                             
5505320 Selected 101842                                                                                                             
5505346 Selected 110686                                                                                                             
5512453 Selected 72389                                                                                                              
5512467 Selected 5872                                                                                                               
5512474 Selected 75247                                                                                                              
5512487 Selected 9000                                                                                                               
5512503 Selected 4500                                                                                                               
5512578 Selected 6828110                                                                                                            
5519580 Selected 57304                                                                                                              
5519589 Selected 20163                                                                                                              
5519597 Selected 9112                                                                                                               
5519685 Selected 4750                                                                                                               
5519705 Selected 4550                                                                                                               
5519757 Selected 53589                                                                                                              
5519790 Selected 50706                                                                                                              
5519825 Selected 44500                                                                                                              
5519872 Selected 18000                                                                                                              
5519898 Selected 9000                                                                                                               
5519899 Selected 163637                                                                                                             
5519910 Selected 4500                                                                                                               
5519931 Selected 9000                                                                                                               
5535364 Selected 55645                                                                                                              
5535390 Selected 18832                                                                                                              
5535419 Selected 2624                                                                                                               
5535434 Selected 2082                                                                                                               
5535464 Selected 11700                                                                                                              
5535472 Selected 152764                                                                                                             
5535477 Selected 17351                                                                                                              
5535500 Selected 350784                                                                                                             
5535572 Selected 64003                                                                                                              
5535596 Selected 83514                                                                                                              
5535598 Selected 15213                                                                                                              
5535635 Selected 167379                                                                                                             
5543168 Selected 7353584                                                                                                            
5551092 Selected 82694                                                                                                              
5559566 Selected 8850                                                                                                               
5559574 Selected 323186                                                                                                             
5559665 Selected 40681                                                                                                              
5559706 Selected 3624239                                                                                                            
5567709 Selected 848931                                                                                                             
5567790 Selected 826208                                                                                                             
5575265 Selected 2421856                                                                                                            
5575271 Selected 389077                                                                                                             
5575588 Selected 7483974                                                                                                            
5575594 Selected 5474908                                                                                                            
5583405 Selected 337477                                                                                                             
5591088 Selected 99027                                                                                                              
5591149 Selected 97499                                                                                                              
5591161 Selected 76536                                                                                                              
5591163 Selected 67371                                                                                                              
5591168 Selected 23815                                                                                                              
5591175 Selected 153735                                                                                                             
5591183 Selected 117662                                                                                                             
5591186 Selected 50831                                                                                                              
5591187 Selected 39403                                                                                                              
5591362 Selected 95533                                                                                                              
5598782 Selected 21000                                                                                                              
5599027 Selected 123104                                                                                                             
5599037 Selected 47015                                                                                                              
5599045 Selected 112511                                                                                                             
5599070 Selected 1000                                                                                                               
5599161 Selected 72380                                                                                                              
5599174 Selected 15167                                                                                                              
5599181 Selected 4486                                                                                                               
5599199 Selected 5000                                                                                                               
5497833 Selected 81057                                                                                                              
5497888 Selected 29163                                                                                                              
5497935 Selected 20085                                                                                                              
5498058 Selected 34500                                                                                                              
5505365 Selected 106162                                                                                                             
5505688 Selected 19840                                                                                                              
5505792 Selected 2450                                                                                                               
5505818 Selected 78316                                                                                                              
5505856 Selected 47226                                                                                                              
5505865 Selected 55572                                                                                                              
5513160 Selected 642150                                                                                                             
5513173 Selected 797755                                                                                                             
5520265 Selected 44091                                                                                                              
5536133 Selected 600                                                                                                                
5543583 Selected 2956                                                                                                               
5543598 Selected 358612                                                                                                             
5543609 Selected 48248                                                                                                              
5543636 Selected 174546                                                                                                             
5543671 Selected 22599                                                                                                              
5543732 Selected 20667                                                                                                              
5543735 Selected 144000                                                                                                             
5543736 Selected 23250                                                                                                              
5543751 Selected 30909                                                                                                              
5543759 Selected 20218                                                                                                              
5543770 Selected 3445                                                                                                               
5543784 Selected 66316                                                                                                              
5560150 Selected 3432                                                                                                               
5560269 Selected 87669                                                                                                              
5560281 Selected 266298                                                                                                             
5591488 Selected 71226                                                                                                              
5591512 Selected 8000                                                                                                               
5591550 Selected 68659                                                                                                              
5591560 Selected 52751                                                                                                              
5599245 Selected 135112                                                                                                             
5498509 Selected 36681                                                                                                              
5505918 Selected 96047                                                                                                              
5505930 Selected 116088                                                                                                             
5505938 Selected 145542                                                                                                             
5505984 Selected 88967                                                                                                              
5506136 Selected 23804                                                                                                              
5506152 Selected 6344                                                                                                               
5513376 Selected 106071                                                                                                             
5513401 Selected 172296                                                                                                             
5513594 Selected 231169                                                                                                             
5513604 Selected 120757                                                                                                             
5513626 Selected 165858                                                                                                             
5520563 Selected 53325                                                                                                              
5520685 Selected 73338                                                                                                              
5520688 Selected 49106                                                                                                              
5520787 Selected 214013                                                                                                             
5520789 Selected 111209                                                                                                             
5520795 Selected 127601                                                                                                             
5520833 Selected 86832                                                                                                              
5520836 Selected 78808                                                                                                              
5520845 Selected 81066                                                                                                              
5520991 Selected 1119931                                                                                                            
5529004 Selected 95292                                                                                                              
5552098 Selected 29052                                                                                                              
5552118 Selected 1771                                                                                                               
5552172 Selected 101224                                                                                                             
5552361 Selected 24300                                                                                                              
5560508 Selected 2368000                                                                                                            
5560512 Selected 2983666                                                                                                            
5560581 Selected 562040                                                                                                             
5560870 Selected 3238685                                                                                                            
5568725 Selected 57566                                                                                                              
5568776 Selected 752146                                                                                                             
5576522 Selected 44829                                                                                                              
5576639 Selected 236637                                                                                                             
5576646 Selected 77502                                                                                                              
5584207 Selected 576220                                                                                                             
5592285 Selected 81235                                                                                                              
5592420 Selected 44423                                                                                                              
5599769 Selected 36346                                                                                                              
5600144 Selected 73233                                                                                                              
5600163 Selected 121650                                                                                                             
5499066 Selected 160086                                                                                                             
5499136 Selected 451069                                                                                                             
5499149 Selected 518662                                                                                                             
5499176 Selected 178899                                                                                                             
5506608 Selected 65878                                                                                                              
5506621 Selected 67639                                                                                                              
5513798 Selected 482406                                                                                                             
5513854 Selected 43479                                                                                                              
5513859 Selected 203553                                                                                                             
5513936 Selected 178556                                                                                                             
5513939 Selected 151437                                                                                                             
5513958 Selected 81917                                                                                                              
5513967 Selected 122971                                                                                                             
5514000 Selected 96365                                                                                                              
5514004 Selected 101081                                                                                                             
5514035 Selected 15457                                                                                                              
5520997 Selected 255612                                                                                                             
5529215 Selected 172358                                                                                                             
5529221 Selected 473964                                                                                                             
5529274 Selected 10830                                                                                                              
5529294 Selected 28756                                                                                                              
5529296 Selected 59589                                                                                                              
5529310 Selected 473124                                                                                                             
5529357 Selected 103847                                                                                                             
5529366 Selected 585848                                                                                                             
5529432 Selected 19652                                                                                                              
5529475 Selected 38451                                                                                                              
5529496 Selected 18311                                                                                                              
5529497 Selected 21904                                                                                                              
5529505 Selected 1377                                                                                                               
5529520 Selected 98361                                                                                                              
5529532 Selected 3409                                                                                                               
5536778 Selected 147920                                                                                                             
5544550 Selected 354108                                                                                                             
5568817 Selected 47230                                                                                                              
5577149 Selected 70382                                                                                                              
5592683 Selected 97954                                                                                                              
5592685 Selected 135912                                                                                                             
5592754 Selected 47312                                                                                                              
5592762 Selected 134087                                                                                                             
5600290 Selected 122018                                                                                                             
5600354 Selected 31351                                                                                                              
5499228 Selected 192761                                                                                                             
5499308 Selected 5000                                                                                                               
5499344 Selected 162177                                                                                                             
5499347 Selected 279385                                                                                                             
5499481 Selected 52350                                                                                                              
5499645 Selected 6836                                                                                                               
5499668 Selected 25000                                                                                                              
5499674 Selected 74627                                                                                                              
5499690 Selected 4500                                                                                                               
5506923 Selected 795381                                                                                                             
5506968 Selected 710993                                                                                                             
5507280 Selected 15011                                                                                                              
5514200 Selected 76067                                                                                                              
5514203 Selected 5000                                                                                                               
5514209 Selected 7189                                                                                                               
5514250 Selected 35838                                                                                                              
5514259 Selected 672589                                                                                                             
5514276 Selected 58758                                                                                                              
5514306 Selected 57409                                                                                                              
5514323 Selected 50540                                                                                                              
5514354 Selected 18000                                                                                                              
5514453 Selected 13176                                                                                                              
5521735 Selected 38309                                                                                                              
5521923 Selected 47466                                                                                                              
5521929 Selected 66370                                                                                                              
5521959 Selected 35401                                                                                                              
5529541 Selected 46598                                                                                                              
5537345 Selected 591200                                                                                                             
5537482 Selected 59604                                                                                                              
5537553 Selected 53316                                                                                                              
5537653 Selected 36355                                                                                                              
5545311 Selected 28350                                                                                                              
5545324 Selected 59468                                                                                                              
5561626 Selected 1375669                                                                                                            
5561642 Selected 524797                                                                                                             
